id;time;lang;place
1000;13,2;10;
1001;13,2;10;
1002;13,2;10;
1003;13,1;10;
1004;13,2;ambig;
1005;13,1;ambig;
1006;13,1;ambig;
1007;13,1;10;
1008;13,2;11;
1009;13,1;ambig;
1010;13,2;30;
1011;13,2;11;
1012;13,2;ambig;
1013;14,1;11;
1014;14,1;21;
1015;13,2;10;
1016;13,2;11;
1017;13,2;21;
1018;14,1;11;
1019;13,2;11;
1020;13,2;10;
1021;13,2;12;
1022;14,1;ambig;
1023;13,1;10;
1024;14,1;22;
1025;13,2;ambig;
1026;13,2;10;
1027;13,2;12;
1028;13,2;20;
1029;13,2;12;
1030;13,2;11;
1031;14,1;ambig;
1032;13,2;20;
1033;13,1;10;
1034;14,1;ambig;
1035;13,2;12;
1036;13,2;10;
1037;13,2;10;
1038;13,2;10;
1039;13,2;10;
1040;13,2;10;
1041;13,2;11;
1042;13,2;20;
1043;14,1;11;
1044;13,2;11;
1045;13,2;11;
1046;13,2;10;
1047;13,2;11;
1048;13,2;12;
1049;13,1;10;
1050;13,2;10;
1051;14,1;ambig;
1052;14,1;12;
1053;13,1;11;
1054;13,2;12;
1055;13,2;10;
1056;13,2;12;
1057;13,1;11;
1058;14,1;nicht feststellbar;
1059;13,2;20;
1060;13,2;12;
1061;13,1;10;
1062;13,1;11;
1063;13,2;10;
1064;13,2;ambig;
1065;17,2;;
1066;13,1;11;
1067;13,2;22;
1068;13,1;10;
1069;14,1;10;
1070;14,1;ambig;
1071;14,1;20;
1072;13,1;11;
1073;13,2;11;
1074;13,2;20;
1075;13,2;10;
1076;13,2;12;
1077;14,1;12;
1078;13,1;ambig;
1079;13,1;12;
1080;13,2;nicht feststellbar;
1081;13,2;nicht feststellbar;
1082;13,2;11;
1083;14,1;10;
1084;14,1;10;
1085;13,2;11;
1086;13,2;11;
1087;13,1;11;
1088;14,1;11;
1089;13,2;10;
1090;13,2;12;
1091;14,1;10;
1092;13,1;10;
1093;13,2;10;
1094;15,2;12;
1095;13,2;ambig;
1096;13,1;10;
1097;14,1;20;
1098;14,2;10;
1099;13,2;12;
1100;13,2;11;
1101;13,2;12;
1102;13,1;10;
1103;13,2;10;
1104;13,1;11;
1105;13,2;ambig;
1106;13,2;11;
1107;13,2;21;
1108;14,1;ambig;
1109;14,1;ambig;
1110;13,2;ambig;
1111;;;
1112;13,2;10;
1113;13,2;12;
1114;13,2;12;
1115;13,2;ambig;
1116;13,2;ambig;
1117;13,2;10;
1118;14,1;21;
1119;14,1;12;
1120;14,1;12;
1121;14,1;20;
1122;13,2;südl. Md., vermutl. nordböhm.;
1123;13,2;10;
1124;13,2;ambig;
1125;14,1;21;
1126;13,2;21;
1127;14,1;ambig;
1128;14,1;11;
1129;13,2;12;
1130;13,2;12;
1131;14,1;10;
1132;14,1;12;
1133;13,2;11;Landshut
1134;13,1;11;
1135;15,2;;
1136;14,1;11;
1137;14,1;11;
1138;13,2;11;
1139;13,2;11;
1140;13,2;20;
1141;14,1;10;
1142;13,2;11;
1143;13,2;11;
1144;13,2;30;
1145;13,1;ambig;
1146;13,1;21;
1147;14,2;12;
1148;13,2;12;
1149;14,1;12;
1150;13,2;20;
1151;13,2;11;
1152;13,2;31;
1153;13,1;ambig;
1154;13,1;11;
1155;13,1;10;
1156;13,2;12;
1157;14,1;12;
1158;13,1;12;
1159;13,1;12;
1160;13,2;21;
1161;14,1;12;
1162;13,2;11;
1163;13,1;ambig;
1164;14,1;11;
1165;13,2;ambig;
1166;13,1;11;
1167;13,2;11;
1168;13,1;20;
1169;14,1;11;
1170;13,2;10;
1171;13,1;11;
1172;13,2;20;
1173;13,2;21;
1174;13,1;12;
1175;13,1;10;
1176;13,1;11;
1177;13,2;11;
1178;13,1;11;
1179;14,1;10;
1180;13,2;ambig;
1181;13,2;21;
1182;13,2;11;
1183;14,1;ambig;
1184;13,2;30;
1185;13,1;10;
1186;13,2;20;
1187;13,1;ambig;
1188;13,2;10;
1189;13,1;12;
1190;13,1;12;
1191;14,1;11;
1192;13,2;ambig;Niederaltaich
1193;13,2;ambig;
1194;13,1;10;
1195;13,1;11;
1196;13,1;11;
1197;13,1;10;
1198;13,2;10;
1199;13,1;30;
1200;13,1;ambig;
1201;13,2;ambig;
1202;13,2;22;
1203;13,2;21;
1204;13,1;21;
1205;13,2;10;
1206;13,1;12;
1207;13,1;10;
1209;14,1;östl. Md.;
1210;14,1;östl. Hochalem.;
1211;13,2;10;
1212;13,2;21;
1213;14,1;10;
1214;13,1;12;
1215;13,2;11;
1216;14,1;11;
1217;13,2;12;Zürich. aus dem selben Skriptorium wie München, Staatsbibl., Cgm 63, und Zürich, Staatsarchiv, Sammelmappe C VI/1, Mappe VI,6a + Zürich, Staatsarchiv, Sammelmappe C VI/1, Mappe VI,6b + Zürich, Zentralbibl., Cod. Car. C 182
1218;13,2;30;
1219;13,2;12;
1220;13,2;12;Wien
1221;13,2;12;
1222;14,1;11;
1223;13,2;10;
1224;14,1;12;
1225;13,1;10;
1226;13,2;12;
1227;13,2;10;
1228;14,1;20;
1229;13,2;11;Wien Wiener Neustadt
1230;14,2;ambig;
1231;13,2;10;
1232;13,2;11;
1233;14,1;südl. Md.;
1234;14,1;20;
1235;13,2;ambig;
1236;14,1;12;
1237;13,2;12;
1238;14,1;12;
1239;14,1;12;
1240;14,1;12;
1241;13,2;südl. oder östl. Österr.;
1242;13,2;10;
1243;13,2;21;
1244;13,2;12;
1245;14,1;21;
1246;13,2;10;
1247;13,2;12;
1248;13,2;12;
1249;14,1;ambig;
1250;13,2;12;
1251;14,1;12;
1252;14,1;20;
1253;13,2;12;
1254;14,1;21;
1255;14,1;12;
1256;14,2;10;
1257;13,2;12;
1258;13,2;ambig;
1259;13,2;westl. Hochalem.;
1260;13,2;12;
1261;14,1;20;
1262;14,1;10;
1263;14,1;10;
1264;14,1;11;
1265;14,2;11;
1266;13,2;20;
1267;13,2;12;
1268;14,1;südl. Md.;
1269;13,2;10;
1270;14,1;ambig;
1271;14,1;20;
1272;13,2;11;
1273;13,2;12;
1274;13,2;12;Wien
1275;13,2;10;
1276;13,2;12;
1277;13,2;10;
1278;13,2;21;
1279;13,2;11;Saldenhofen/Vuzenica
1280;13,2;10;
1281;13,2;30;
1282;12,2;12;
1283;14,1;11;
1284;13,1;12;
1285;13,2;11;
1286;13,1;10;
1287;13,2;10;
1288;13,2;12;
1289;13,1;11;
1290;13,2;12;
1291;14,1;11;
1292;13,2;10;
1293;13,1;21;
1294;13,1;11;
1295;13,2;11;
1296;13,2;11;
1297;13,2;11;
1298;14,1;20;
1299;14,1;12;
1300;13,2;ambig;
1301;13,2;ambig;
1302;13,2;22;
1303;14,1;12;
1304;13,2;12;
1305;13,2;11;
1306;13,2;11;
1307;13,2;niederösterr.;
1309;13,1;ambig;
1310;13,2;ambig;
1311;13,2;ambig;Gröbming/Steiermark
1312;14,1;11;
1313;14,1;12;
1314;13,2;westripuar.;
1315;14,1;westripuar.;
1316;13,2;21;
1317;13,2;10;
1318;14,1;20;
1319;14,1;ambig;
1320;14,1;20;
1321;14,1;11;
1322;14,1;ambig;
1323;13,2;21;
1324;13,2;21;
1325;13,2;ambig;
1326;13,2;11;
1327;13,2;12;
1328;13,1;12;
1329;13,1;12;
1330;13,2;ambig;
1331;13,1;20;
1332;14,1;12;
1333;13,2;20;
1334;13,1;20;
1335;13,2;11;
1336;13,1;11;
1338;13,2;12;
1339;13,1;11;
1340;12,2;westbair.;
1341;18,2;;
1342;13,2;nordöstl. Bair.;
1343;13,2;11;
1344;13,1;12;
1345;13,2;11;
1346;13,2;11;
1347;13,2;10;
1348;13,2;ambig;
1349;13,2;10;
1350;13,1;10;
1351;13,1;13;
1352;13,1;10;
1353;13,2;12;
1354;13,2;11;
1355;14,1;20;
1356;13,1;11;
1357;13,1;11;
1358;13,2;12;
1359;13,2;31;
1360;14,1;11;
1361;13,1;20;
1362;14,1;ambig;
1363;13,2;21;
1364;13,2;Nordschwaben   Nordelsaß   Südrheinfranken;
1365;12,2;11;
1366;13,2;ambig;
1367;14,1;12;
1368;13,2;20;
1369;13,1;12;
1370;13,2;10;
1371;13,2;20;
1372;13,2;31;
1373;13,2;nicht feststellbar;
1374;13,2;21;
1375;13,2;ambig;
1376;13,2;11;
1377;13,2;10;Stams/Tirol
1378;11,2;südostalem.;
1379;14,1;22;Nordhausen.
1380;13,2;22;Mühlhausen
1381;13,1;11;
1382;13,1;11;
1383;13,2;21;
1384;13,1;11;
1385;13,2;20;
1386;13,2;10;
1387;13,2;21;
1388;13,1;12;
1389;13,1;11;Diözese Trient
1390;14,1;11;
1391;13,1;21;
1392;13,2;11;
1393;13,1;21;
1394;13,2;20;
1395;14,1;21;
1396;13,1;12;Schaffhausen
1397;14,1;ambig;
1398;13,2;20;
1399;14,1;12;
1400;13,2;11;
1401;13,1;11;
1402;13,1;11;
1403;13,1;12;
1404;13,1;10;
1405;13,1;11;Chorfrauenstift Seckau Seckau
1406;14,1;11;
1407;14,1;11;
